City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Touros,BR,2022-07-01 21:13:09,-5.1989,-35.4608,77.85,83,30,10.94,scattered clouds
124,Pyapon,MM,2022-07-01 21:13:10,16.2833,95.6833,77.97,90,100,4.56,overcast clouds
125,Vardo,NO,2022-07-01 21:13:10,70.3705,31.1107,46.38,100,100,4.61,overcast clouds
126,Hun,LY,2022-07-01 21:13:11,29.1268,15.9477,90.7,22,0,8.01,clear sky
127,Newton,US,2022-07-01 21:13:11,42.337,-71.2092,93.06,52,0,20.71,clear sky
128,Las Choapas,MX,2022-07-01 21:10:45,17.9333,-94.0833,87.67,66,46,8.88,scattered clouds
129,Airai,TL,2022-07-01 21:13:12,-8.9266,125.4092,58.64,96,63,3.42,broken clouds
130,Cabo Rojo,PR,2022-07-01 21:12:10,18.0866,-67.1457,87.39,79,69,1.01,broken clouds
131,Sisimiut,GL,2022-07-01 21:13:13,66.9395,-53.6735,39.56,95,100,9.95,overcast clouds
132,Provideniya,RU,2022-07-01 21:13:13,64.3833,-173.3,48.15,97,100,14.0,moderate rain
133,Almeria,ES,2022-07-01 21:13:14,37.1667,-2.3333,70.77,85,12,10.04,few clouds
134,Port Shepstone,ZA,2022-07-01 21:13:14,-30.7414,30.455,61.56,57,0,5.73,clear sky
135,Lebu,CL,2022-07-01 21:13:15,-37.6167,-73.65,49.12,66,78,9.75,broken clouds
136,San Cristobal,VE,2022-07-01 21:13:16,7.7669,-72.225,78.98,65,49,4.59,scattered clouds
137,Severo-Kurilsk,RU,2022-07-01 21:08:58,50.6789,156.125,52.3,81,89,13.24,overcast clouds
138,Chiredzi,ZW,2022-07-01 21:13:16,-21.05,31.6667,59.99,65,50,3.06,scattered clouds
139,Mar Del Plata,AR,2022-07-01 21:13:17,-38.0023,-57.5575,52.09,76,100,12.66,light rain
140,Lisieux,FR,2022-07-01 21:13:17,49.1667,0.1667,62.11,79,51,2.42,broken clouds
141,Kutum,SD,2022-07-01 21:13:18,14.2,24.6667,79.36,42,95,4.5,overcast clouds
142,Kysyl-Syr,RU,2022-07-01 21:13:18,63.8986,122.7617,62.17,73,35,3.78,scattered clouds
143,Ca Mau,VN,2022-07-01 21:13:19,9.1769,105.15,78.28,89,100,4.47,overcast clouds
144,Leningradskiy,RU,2022-07-01 21:13:19,69.3833,178.4167,43.29,81,93,4.56,overcast clouds
145,Luocheng,CN,2022-07-01 21:13:20,29.3848,104.0286,71.08,79,99,1.48,overcast clouds
146,Norman Wells,CA,2022-07-01 21:13:20,65.282,-126.8329,78.55,29,53,5.39,broken clouds
147,Xuddur,SO,2022-07-01 21:13:20,4.1213,43.8894,72.48,56,11,15.9,few clouds
148,Urubicha,BO,2022-07-01 21:13:21,-15.3833,-62.95,84.34,34,43,5.14,scattered clouds
149,Amga,RU,2022-07-01 21:13:22,60.8953,131.9608,67.68,66,7,1.05,clear sky
150,Kodar,IN,2022-07-01 21:13:22,16.9833,79.9667,84.16,65,100,12.91,overcast clouds
151,Iqaluit,CA,2022-07-01 21:13:24,63.7506,-68.5145,41.36,72,45,14.54,scattered clouds
152,Nome,US,2022-07-01 21:13:24,64.5011,-165.4064,61.16,72,100,18.41,smoke
153,Barrow,US,2022-07-01 21:13:24,71.2906,-156.7887,46.42,71,0,11.5,clear sky
154,Sorland,NO,2022-07-01 21:13:25,67.667,12.6934,57.06,80,32,11.88,scattered clouds
155,Hami,CN,2022-07-01 21:13:25,42.8,93.45,85.44,24,100,13.38,overcast clouds
