City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Hobyo,SO,77.25,broken clouds,5.3505,48.5268,Iftin hotel hobyo
393,Victoria,HK,82.26,overcast clouds,22.2855,114.1577,Mini Central
397,Yichang,CN,80.51,overcast clouds,30.7144,111.2847,Gezhouba Hotel
398,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
401,Nouakchott,MR,76.93,clear sky,18.0858,-15.9785,HOTEL IMAN
402,Sistranda,NO,73.36,few clouds,63.7256,8.834,Hotell Frøya
406,Tupelo,US,91.69,few clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
407,Angoche,MZ,70.07,clear sky,-16.2325,39.9086,Guest House HESADA
408,Haines Junction,CA,75.15,few clouds,60.7522,-137.5108,Parkside Inn
409,Kushima,JP,75.69,broken clouds,31.4583,131.2333,Hanaoka
410,Caravelas,BR,72.9,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
411,Altoona,US,88.05,broken clouds,40.5187,-78.3947,Cedar Grove Motel
412,Salaga,GH,73.96,scattered clouds,8.5508,-0.5188,Bore Nada Guest House
413,Zhuanghe,CN,69.85,moderate rain,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
414,Duobao,CN,78.22,broken clouds,30.67,112.6895,Yongsheng Hotel
416,Tabasalu,EE,73.26,clear sky,59.4303,24.5331,Tiskre rand
417,Boyolangu,ID,75.07,light rain,-8.1181,111.8935,Yos ega cv
421,Tecpan,GT,67.89,scattered clouds,14.7623,-90.9947,Villa San Ricardo
422,Vysokogornyy,RU,67.44,clear sky,50.1167,139.15,
425,Xochihuehuetlan,MX,92.71,broken clouds,17.9167,-98.4333,
426,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
428,Warangal,IN,81.72,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
429,Katsuura,JP,76.71,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
430,Carauari,BR,84.04,scattered clouds,-4.8828,-66.8958,Hotel Fellip
432,Port Moresby,PG,75.47,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
434,Aswan,EG,89.35,clear sky,24.0934,32.907,Nuba Nile
435,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
437,Yaan,NG,72.36,broken clouds,7.3833,8.5667,
441,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
444,Tolmezzo,IT,71.74,scattered clouds,46.4075,13.0175,Albergo Roma
445,Monte Alegre,BR,83.21,scattered clouds,-2.0078,-54.0692,Hotel Shekinah
446,Juneau,US,68.0,broken clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
448,Filadelfia,US,90.1,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
449,Jiblah,YE,68.92,broken clouds,13.9216,44.1467,Tiger Tower Hotel
450,Dois Corregos,BR,67.86,clear sky,-22.3661,-48.3803,Hotel Pousada Aquino Paraiso
451,Dhankuta,NP,68.4,moderate rain,26.9833,87.3333,Hotel Kanjirowa
452,Pavilosta,LV,76.91,few clouds,56.8879,21.1859,"Hotel ""Vēju paradīze"""
455,Russell,US,88.88,few clouds,32.3502,-85.1999,Macs
459,Yuxia,CN,81.21,moderate rain,34.0615,108.6291,Shanchengxuan Hotel
460,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
463,Champerico,GT,84.74,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
464,Hadejia,NG,81.97,light rain,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
466,Smirnykh,RU,67.87,clear sky,49.75,142.8333,Tsentral'naya
467,Parry Sound,CA,68.49,overcast clouds,45.3501,-80.033,Bayside Inn
469,Lompoc,US,84.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
470,Port Hawkesbury,CA,74.91,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
473,Xixiang,CN,77.72,overcast clouds,35.1628,112.865,Hongchang Rest House
474,Bulri,PK,85.64,moderate rain,24.8667,68.3333,
475,Mariel,CU,80.74,light rain,22.9875,-82.7536,Casa De Alojamiento Marilda
476,Sao Joao Da Barra,BR,69.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
477,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
479,Surt,LY,80.51,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
483,Porto Empedocle,IT,80.65,clear sky,37.2934,13.5264,Hotel dei Pini
484,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
486,Abha,SA,71.42,clear sky,18.2164,42.5053,Abha Hotel
487,Port Arthur,CN,73.62,overcast clouds,38.8,121.2667,Friendship Hotel
489,Zhenhai,CN,81.09,overcast clouds,24.2582,118.0905,In Zhijian Guesthouse
490,San Felipe,VE,77.34,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
491,Oyem,GA,67.28,light rain,1.5995,11.5793,Commissariat de police
492,Phan Thiet,VN,78.06,overcast clouds,10.9333,108.1,Hotel Saigon-PT
493,Khor,RU,67.93,overcast clouds,47.8861,134.9464,Gostinitsa Deksi
494,Front Royal,US,85.24,moderate rain,38.9182,-78.1944,Hampton Inn Front Royal
495,Leshan,CN,71.96,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
498,Harper,LR,77.13,overcast clouds,4.375,-7.7169,Screensaver
501,Kieta,PG,80.01,light rain,-6.2167,155.6333,Uruna Bay Retreat
503,Canto Do Buriti,BR,86.14,scattered clouds,-8.11,-42.9444,Novo Hotel
504,Dakar,SN,79.68,scattered clouds,14.6937,-17.4441,Novotel Dakar
505,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
506,Puerto Escondido,MX,86.88,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
507,Imperia,IT,69.1,clear sky,43.9667,7.7833,La Stregatta
510,Palmer,US,92.62,broken clouds,42.1584,-72.3287,Wedgewood Motel
511,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Pousada Camboinha
513,Zboriste,BA,67.12,few clouds,45.1458,16.0178,Mlin Mašinovici Odmaralište
515,Kotido,UG,71.38,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
